provider,venue_external_id,worker_external_id,shift_external_id,tip_type,gross_tip,clock_in,clock_out,role,payout_route,payroll_status
toast_mock,venue_001,worker_002,shift_2026-08-12_worker_002,CARD_TIP,27.02,2026-08-12T17:46:00.000Z,2026-08-12T21:59:00.000Z,SERVER,USDC,UNKNOWN
toast_mock,venue_001,worker_003,shift_2026-08-12_worker_003,CARD_TIP,19.98,2026-08-12T15:18:00.000Z,2026-08-12T18:42:00.000Z,BUSSER,PAYROLL,PROVIDER_CONFIRMED
toast_mock,venue_001,worker_001,shift_2026-08-13_worker_001,CARD_TIP,11.34,2026-08-13T15:55:00.000Z,2026-08-13T20:25:00.000Z,SERVER,USDC,UNKNOWN
toast_mock,venue_001,worker_002,shift_2026-08-13_worker_002,CARD_TIP,28.73,2026-08-13T15:21:00.000Z,2026-08-13T20:41:00.000Z,SERVER,USDC,UNKNOWN
toast_mock,venue_001,worker_003,shift_2026-08-13_worker_003,CARD_TIP,23.73,2026-08-13T15:20:00.000Z,2026-08-13T19:33:00.000Z,BUSSER,PAYROLL,PROVIDER_CONFIRMED
toast_mock,venue_001,worker_001,shift_2026-08-14_worker_001,CARD_TIP,18.62,2026-08-14T18:47:00.000Z,2026-08-14T22:15:00.000Z,SERVER,USDC,UNKNOWN
toast_mock,venue_001,worker_002,shift_2026-08-14_worker_002,CARD_TIP,20.77,2026-08-14T16:25:00.000Z,2026-08-14T20:02:00.000Z,SERVER,USDC,UNKNOWN
toast_mock,venue_001,worker_003,shift_2026-08-14_worker_003,CARD_TIP,22.00,2026-08-14T18:11:00.000Z,2026-08-14T22:23:00.000Z,BUSSER,PAYROLL,PROVIDER_CONFIRMED
toast_mock,venue_001,worker_001,shift_2026-08-15_worker_001,CARD_TIP,13.92,2026-08-15T17:49:00.000Z,2026-08-15T23:04:00.000Z,SERVER,USDC,UNKNOWN
toast_mock,venue_001,worker_002,shift_2026-08-15_worker_002,CARD_TIP,17.84,2026-08-15T17:58:00.000Z,2026-08-15T22:57:00.000Z,SERVER,USDC,UNKNOWN
toast_mock,venue_001,worker_003,shift_2026-08-15_worker_003,CARD_TIP,18.54,2026-08-15T17:36:00.000Z,2026-08-15T22:46:00.000Z,BUSSER,PAYROLL,PROVIDER_CONFIRMED
toast_mock,venue_001,worker_001,shift_2026-08-16_worker_001,CARD_TIP,20.07,2026-08-16T18:35:00.000Z,2026-08-16T22:07:00.000Z,SERVER,USDC,UNKNOWN
toast_mock,venue_001,worker_002,shift_2026-08-16_worker_002,CARD_TIP,17.69,2026-08-16T15:41:00.000Z,2026-08-16T20:05:00.000Z,SERVER,USDC,UNKNOWN
toast_mock,venue_001,worker_003,shift_2026-08-16_worker_003,CARD_TIP,21.78,2026-08-16T17:58:00.000Z,2026-08-16T21:42:00.000Z,BUSSER,PAYROLL,PROVIDER_CONFIRMED
